TEMPERATURA;HUMEDAD;TIRANTE;TIRANTE_IDEAL;CAUDAL_REAL
32,6;24,3;2,934;2,210939086;23,6323704
32,6;24,4;2,902;2,210939086;23,6323704
32,6;24,7;2,888;2,210939086;23,6323704
32,6;24,6;2,929;2,210939086;23,6323704
32,6;24,4;2,966;2,210939086;23,6323704
32,7;24,5;2,954;2,210939086;23,6323704
32,7;24,7;2,91;2,210939086;23,6323704
32,7;24,7;2,927;2,210939086;23,6323704
32,7;24,3;2,9;2,210939086;23,6323704
32,7;24,2;2,89;2,210939086;23,6323704
32,7;24,4;2,914;2,210939086;23,6323704
32,8;24;2,871;2,210939086;23,6323704
32,8;24,1;2,875;2,210939086;23,6323704
32,8;24,3;2,88;2,210939086;23,6323704
32,9;24,6;2,888;2,210939086;23,6323704
32,9;24,5;2,841;2,210939086;23,6323704
32,8;24,5;2,84;2,210939086;23,6323704
32,8;24,3;2,895;2,210939086;23,6323704
32,8;24,1;2,813;2,210939086;23,6323704
32,8;24;2,809;2,210939086;23,6323704
32,7;23,4;2,828;2,210939086;23,6323704
32,5;23,5;2,83;2,210939086;23,6323704
32,4;23,1;2,862;2,210939086;23,6323704
32,3;23,3;2,877;2,210939086;23,6323704
32,3;23,7;2,816;2,210939086;23,6323704
32,3;23,8;2,822;2,210939086;23,6323704
32,2;23,6;2,852;2,210939086;23,6323704
32,1;23,5;2,819;2,210939086;23,6323704
32,1;23,7;2,872;2,210939086;23,6323704
31,9;23,3;2,89;2,210939086;23,6323704
31,9;23,6;2,851;2,210939086;23,6323704
31,9;23,8;2,875;2,210939086;23,6323704
31,8;23,7;2,896;2,210939086;23,6323704
31,8;23,7;2,89;2,210939086;23,6323704
31,8;24;2,897;2,210939086;23,6323704
31,8;24;2,862;2,210939086;23,6323704
31,8;23,9;2,888;2,210939086;23,6323704
31,8;24,2;2,921;2,210939086;23,6323704
31,8;24,3;2,901;2,210939086;23,6323704
31,9;24,3;2,943;2,210939086;23,6323704
31,8;24;2,908;2,210939086;23,6323704
31,8;24,8;2,849;2,210939086;23,6323704
31,8;25,1;2,85;2,210939086;23,6323704
31,8;24,6;2,923;2,210939086;23,6323704
31,8;24,2;2,863;2,210939086;23,6323704
31,7;24,3;2,932;2,210939086;23,6323704
31,7;24,4;2,91;2,210939086;23,6323704
31,7;24,4;2,909;2,210939086;23,6323704
31,8;24,4;2,892;2,210939086;23,6323704
31,7;24,4;2,92;2,210939086;23,6323704
31,8;24,6;2,895;2,210939086;23,6323704
31,7;24,4;2,908;2,210939086;23,6323704
31,7;24,5;2,874;2,210939086;23,6323704
31,8;24,6;2,92;2,210939086;23,6323704
31,8;24,5;2,903;2,210939086;23,6323704
31,8;24,6;2,858;2,210939086;23,6323704
31,8;24,6;2,869;2,210939086;23,6323704
31,8;24,3;2,893;2,210939086;23,6323704
31,8;24,4;2,848;2,210939086;23,6323704
31,8;24,2;2,846;2,210939086;23,6323704
31,7;24,2;2,852;2,210939086;23,6323704
31,6;24;2,877;2,210939086;23,6323704
31,6;24,2;2,869;2,210939086;23,6323704
31,6;24,2;2,883;2,210939086;23,6323704
31,6;24,3;2,865;2,210939086;23,6323704
31,6;24,4;2,831;2,210939086;23,6323704
31,6;24,4;2,896;2,210939086;23,6323704
31,6;24,6;2,961;2,210939086;23,6323704
31,6;24,6;2,938;2,210939086;23,6323704
31,6;25;2,921;2,210939086;23,6323704
31,6;25,1;2,932;2,210939086;23,6323704
31,6;24,9;2,881;2,210939086;23,6323704
31,7;24,7;2,892;2,210939086;23,6323704
31,6;24,4;2,92;2,210939086;23,6323704
31,6;24,6;2,918;2,210939086;23,6323704
31,5;24,5;2,928;2,210939086;23,6323704
31,5;24,4;2,906;2,210939086;23,6323704
31,5;24,6;2,929;2,210939086;23,6323704
31,4;24,6;2,945;2,210939086;23,6323704
31,5;24,7;2,919;2,210939086;23,6323704
31,5;24,9;2,943;2,210939086;23,6323704
31,4;24,6;2,875;2,210939086;23,6323704
31,4;24,5;2,901;2,210939086;23,6323704
31,5;24,7;2,899;2,210939086;23,6323704
31,4;24,6;2,913;2,210939086;23,6323704
31,4;24,9;2,939;2,210939086;23,6323704
31,4;24,9;2,926;2,210939086;23,6323704
31,4;25,1;2,908;2,210939086;23,6323704
31,4;24,8;2,924;2,210939086;23,6323704
31,4;24,8;2,935;2,210939086;23,6323704
31,4;24,9;2,931;2,210939086;23,6323704
31,5;25;2,945;2,210939086;23,6323704
31,4;25,1;2,948;2,210939086;23,6323704
31,5;25,5;2,931;2,210939086;23,6323704
31,5;25,4;2,972;2,210939086;23,6323704
31,5;25,7;2,93;2,210939086;23,6323704
31,5;25,5;2,929;2,210939086;23,6323704
31,5;25,6;2,927;2,210939086;23,6323704
31,6;25,8;2,931;2,210939086;23,6323704
31,6;25,9;2,933;2,210939086;23,6323704
31,6;26,2;2,932;2,210939086;23,6323704
31,6;25,8;2,967;2,210939086;23,6323704
31,6;25,5;2,861;2,210939086;23,6323704
31,6;25,4;2,915;2,210939086;23,6323704
31,6;25,1;2,917;2,210939086;23,6323704
31,6;25,2;2,924;2,210939086;23,6323704
31,5;25,1;2,963;2,210939086;23,6323704
31,5;25,1;2,935;2,210939086;23,6323704
31,5;25,4;2,921;2,210939086;23,6323704
31,5;25,5;2,881;2,210939086;23,6323704
31,5;25,3;2,912;2,210939086;23,6323704
31,5;25,1;2,888;2,210939086;23,6323704
31,5;25;2,901;2,210939086;23,6323704
31,4;24,9;2,92;2,210939086;23,6323704
31,4;25,1;2,923;2,210939086;23,6323704
31,5;25,4;2,873;2,210939086;23,6323704
31,4;25,4;2,92;2,210939086;23,6323704
31,3;25;2,868;2,210939086;23,6323704
31,3;25,3;2,942;2,210939086;23,6323704
31,3;25;2,949;2,210939086;23,6323704
31,3;25;2,963;2,210939086;23,6323704
31,2;25,3;2,971;2,210939086;23,6323704
31,2;25,5;2,957;2,210939086;23,6323704
31,2;25,3;2,924;2,210939086;23,6323704
31,2;25,1;2,898;2,210939086;23,6323704
31,2;24,7;2,904;2,210939086;23,6323704
31,2;24,8;2,894;2,210939086;23,6323704
31,2;25;2,89;2,210939086;23,6323704
31,2;25,1;2,901;2,210939086;23,6323704
31,2;25;2,925;2,210939086;23,6323704
31,2;25;2,889;2,210939086;23,6323704
31,2;25,2;2,941;2,210939086;23,6323704
31,2;25,3;2,944;2,210939086;23,6323704
31,2;25,4;2,966;2,210939086;23,6323704
31,2;25,7;2,97;2,210939086;23,6323704
31,2;25,9;2,939;2,210939086;23,6323704
31,3;26,3;2,908;2,210939086;23,6323704
31,2;25,6;2,938;2,210939086;23,6323704
31,3;25,3;2,897;2,210939086;23,6323704
31,3;25,5;2,901;2,210939086;23,6323704
31,3;25,8;2,9;2,210939086;23,6323704
31,3;25,2;2,878;2,210939086;23,6323704
31,3;25;2,899;2,210939086;23,6323704
31,3;25,1;2,87;2,210939086;23,6323704
31,3;25,1;2,896;2,210939086;23,6323704
31,3;25,2;2,876;2,210939086;23,6323704
31,2;25,3;2,9;2,210939086;23,6323704
31,2;25,3;2,935;2,210939086;23,6323704
31,2;25,5;2,93;2,210939086;23,6323704
31,2;25,3;2,873;2,210939086;23,6323704
31,2;24,9;2,9;2,210939086;23,6323704
31,1;24,9;2,898;2,210939086;23,6323704
31,1;25,1;2,895;2,210939086;23,6323704
31,1;25;2,946;2,210939086;23,6323704
31,1;25,2;2,93;2,210939086;23,6323704
31,1;25,3;2,941;2,210939086;23,6323704
31;25,3;2,958;2,210939086;23,6323704
31;25,6;2,944;2,210939086;23,6323704
31;25,8;2,951;2,210939086;23,6323704
30,9;26,1;2,904;2,210939086;23,6323704
30,9;26,5;2,921;2,210939086;23,6323704
30,9;26,2;2,93;2,210939086;23,6323704
30,9;25,8;2,978;2,210939086;23,6323704
29,4;28,4;3,076;1,958660568;19,7752533
29,4;27,6;2,861;1,958660568;19,7752533
29,4;28,7;2,772;1,958660568;19,7752533
29,3;28,2;2,854;1,958660568;19,7752533
29,3;28,1;2,851;1,958660568;19,7752533
29,3;28,2;2,829;1,958660568;19,7752533
29,3;28,2;2,793;1,958660568;19,7752533
29,4;28,3;2,8;1,958660568;19,7752533
29,3;28,4;2,849;1,958660568;19,7752533
29,3;28,4;2,828;1,958660568;19,7752533
29,4;28,4;2,828;1,958660568;19,7752533
29,4;28,3;2,859;1,958660568;19,7752533
29,4;28,4;2,877;1,958660568;19,7752533
29,4;28,6;2,886;1,958660568;19,7752533
29,4;28,9;2,886;1,958660568;19,7752533
29,4;29;2,762;1,958660568;19,7752533
29,4;28,9;2,764;1,958660568;19,7752533
29,5;28,7;2,803;1,958660568;19,7752533
29,4;28,5;2,838;1,958660568;19,7752533
29,4;28,8;2,849;1,958660568;19,7752533
29,5;29;2,798;1,958660568;19,7752533
29,4;28,7;2,812;1,958660568;19,7752533
29,5;28,6;2,803;1,958660568;19,7752533
29,5;28,5;2,808;1,958660568;19,7752533
29,4;28,2;2,813;1,958660568;19,7752533
29,4;28,4;2,841;1,958660568;19,7752533
29,4;28,5;2,859;1,958660568;19,7752533
29,4;28,4;2,798;1,958660568;19,7752533
29,3;28,6;2,845;1,958660568;19,7752533
29,3;28,9;2,819;1,958660568;19,7752533
29,3;28,9;2,871;1,958660568;19,7752533
29,3;28,9;2,822;1,958660568;19,7752533
29,2;28,9;2,859;1,958660568;19,7752533
29,3;28,9;2,852;1,958660568;19,7752533
29,3;28,9;2,819;1,958660568;19,7752533
29,3;28,7;2,837;1,958660568;19,7752533
29,3;28,6;2,829;1,958660568;19,7752533
29,3;28,9;2,802;1,958660568;19,7752533
29,2;28,7;2,842;1,958660568;19,7752533
29,2;28,8;2,829;1,958660568;19,7752533
29,2;28,8;2,831;1,958660568;19,7752533
29,2;28,6;2,821;1,958660568;19,7752533
29,2;28,8;2,808;1,958660568;19,7752533
